id,name:it,name:fur,loc_name:fur,name:sl,name:de,place,kind
34162574,Vallenoncello / Valnunciel,Valnunciel,Valnunsiel,,,village,node
34662591,Bibione Pineda,Bibion Pinede,,,,suburb,node
153442498,Liariis,Liariis,Liaries,,,hamlet,node
191110221,Lateis,Lateis,,,Latais,village,node
198240817,Salars,Salârs,,,,hamlet,node
198366403,Tualis,Tualis,Tualias,,,hamlet,node
240107546,Plöcken,Stali,,,,locality,node
274270632,San Nicolò / San Nicolau,San Nicolò,,,,hamlet,node
274528558,Dolegnano / Dolegnan,Dolegnan,,,,village,node
272046425,Bibione,Bibion,,,,village,node
276436980,Duino,Duin,,Devin,Thübein,village,node
286323328,Casso,Cjas,,,,hamlet,node
287058172,Micottis,Micotis,,Sedlišča,,hamlet,node
287058176,Villanova delle Grotte,Vilegnove,,Zavarh,,village,node
287060304,Useunt / Nusiunt,Nusiunt,,,,hamlet,node
287068752,Plaino,Plaìn,,,,village,node
287255219,Vendoglio / Vendoi,Vendoi,,,,village,node
292695754,Villanova del Judrio,Vilegnove dal Judri,,,,village,node
292800302,Bolzano,Bolzan,,,,village,node
292800534,Ialmicco,Jalmic,,,,village,node
298240038,Caneva,Cjanive,,,,village,node
298465338,Lorenzaso,Lorençâs,,,,village,node
299306091,Mainizza,Mainize,Mainiza,Majnice,,hamlet,node
299727776,Villanova di Farra / Vilagnova,Vilegnove,Vilagnova,,,hamlet,node
300849936,Canebola,Cjaneule,,Čenebola,,village,node
303291720,La Salute di Livenza,La Salût,,,,village,node
304050646,Corona,Corone,Corona,,,hamlet,node
304291081,Borgnano,Borgnan,,Bornjan,,hamlet,node
304619943,Fratta,Frate,Frata,,,hamlet,node
306549223,Tissano,Tissan,,,,village,node
306788567,Colugna,Culugne,,,,village,node
307463399,Brazzano,Breçan,Brezan,Bračan,,hamlet,node
308051319,Biverone,Beveron,,,,hamlet,node
60147390,Sauris di Sotto,Sauris Disot,,,,village,node
64778133,San Pietro di Cadore,San Pieri in Cjadovri,,,,village,node
64778154,Sappada,Sapade,,,Sappada - Plodn,village,node
64778223,Lorenzago di Cadore,Lorençâc,,,,village,node
64778228,Santo Stefano di Cadore,San Scjefin in Cjadovri,,,,village,node
64778237,Pieve di Cadore,Plêf di Cjadovri,,,,town,node
64778747,Meduna di Livenza,Medune,,,,village,node
64778753,Cinto Caomaggiore,Cint,,,,village,node
64778759,Caorle,Cjaurlis,,,,town,node
64778763,San Michele al Tagliamento,San Micjêl,,,,village,node
64778766,Concordia Sagittaria,Concuardie,,,,village,node
64778772,Annone Veneto,Danon,,,,village,node
64778778,San Stino di Livenza,San Stin,,,,town,node
64778785,Pramaggiore,Pramaiôr,,,,village,node
64778789,Gruaro,Gruâr,,,,village,node
64778803,Fossalta di Portogruaro,Fossalte,Fossalta,,,village,node
64778865,Teglio Veneto,Tei,,,,village,node
66502648,Trieste,Triest,,Trst,Triest,city,node
66502654,Gorizia,Gurize,Guriza,Gorica,Görz,town,node
66502659,Pordenone,Pordenon,,Pordenon,Pordenone,city,node
66502664,Udine,Udin,,Videm,Udine,city,node
66502674,San Canzian d'Isonzo,Sagansiàn,,Škocjan ob Soči,,village,node
