id,name:fur,loc_name:fur,name:it,name:sl,name:de,place,kind
783336957,'Sapatoc,,Zapatocco,Zapatok,,hamlet,node
3726670398,A Davàras,A Davâras,Località Davaras,,,isolated_dwelling,node
1605067625,Adorgnan,,Adorgnano,,,village,node
5867649377,Ai Leons,,Casali dei Leoni,,,isolated_dwelling,node
492046163,Al Gjal,,Casali Gallo / Al Gjal,,,hamlet,node
384812452,Albane,Albana,Albana,,,hamlet,node
863033814,Almadis,Almades,Almadis,,,hamlet,node
2381259548,Alnêt,,Alnetto,,,hamlet,node
2174015,Alps Juliis,,Alpi Giulie,Julijske Alpe,Julische Alpen,region,relation
1531030047,Alt di Biligne,Alt di Biligna,Alt di Beligna,,,isolated_dwelling,node
2560166993,Alzers,,Braida d'Alzeri,,,isolated_dwelling,node
771208991,Ampian,,Borgo Ampiano / Ampian,,,village,node
5504660,Ancaran,,Ancarano,Ankaran,,municipality,relation
925547913,Ancone,,Ancone,,,locality,node
66502858,Andreis,Andrees,Andreis,,,village,node
1165439197,Andreuce,,Andreuzza,,,hamlet,node
863048876,Anduins,,Anduins,,,village,node
3687802576,Anfure,Anfura,Ca' Anfora,,,isolated_dwelling,node
526773827,Antognan,,Ontagnano,,,village,node
564669829,Aprilie,,Aprilia Marittima,,,village,node
66503315,Aquilee,Aquilea,Aquileia,Oglej,Aquileja,village,node
783336849,Arbeç,,Erbezzo,Arbeč,,hamlet,node
1447461325,Arcule,Archela,Località Arcola,,,hamlet,node
452419092,Are Grande,,Ara Grande,,,village,node
1116093541,Are Piçule,,Ara Piccola,,,village,node
775792804,Ariis,,Ariis,,,village,node
1280747802,Armelin,,Armellino / Armelin,,,isolated_dwelling,node
1652741627,Armelìn,,Ermellino,,,locality,node
1986133575,Armâs,,Armasio,,,isolated_dwelling,node
1461469168,Arse,,Arsa,,,hamlet,node
66503199,Atimis,,Attimis,Ahten,,village,node
814664284,Aupe,,Aupa,,,hamlet,node
2383211190,Autemus,,Autemos,,,isolated_dwelling,node
1432204549,Avon,,Avon,,,isolated_dwelling,node
357361007,Azide,,Azzida,Ažla,,village,node
2218266383,Açanel,,Azzanello,,,hamlet,node
1613529304,Bagnare,,Bagnara,,,village,node
12863355101,Bagnare,,Bagnara | Rojale,,,hamlet,node
66503159,Bagnarie,,Bagnaria Arsa,,,village,node
495951186,Bagnarole,Bagnarola,Bagnarola,,,village,node
1813482032,Baldassarie Alte,,Baldasseria Alta,,,hamlet,node
1813482016,Baldassarie Basse,,Baldasseria Bassa,,,hamlet,node
1813482019,Baldassarie Medie,,Baldasseria Media,,,hamlet,node
7325060525,Banda Crauì,,Banda Crauì,,,neighbourhood,node
7325060524,Banda Uanis,,Banda Uanis,,,neighbourhood,node
1469157453,Banduts,,Banduzzo,,,hamlet,node
9027822526,Bant,,Bando,,,hamlet,node
3857779658,Bant,,Località Bant,,,isolated_dwelling,node
524659455,Bant,,Bando,,,village,node
498732265,Banìe,,Bannia,,,village,node
1723358661,Baracêt,,Barazzetto,,,village,node
39424614,Barbane,,Isola di Barbana,Barbana,,islet,way
1437956743,Barbeadis,,Barbeadis,,,isolated_dwelling,node
485813820,Barbean,,Barbeano,,,village,node
1502197757,Barc,,Barco,,,village,node
66502851,Barcis,Barce,Barcis,,,village,node
12398753023,Barêt,,Baredo,,,hamlet,node
749251917,Basandiele,,Basaldella,,,village,node
835975108,Basangjele,Basangjela,Basaldella,,,village,node
769200454,Baselie,Baselia,Baseglia,,,village,node
1312361680,Baselie,,Borgo Baselia,,,hamlet,node
66503108,Basilian,,Basiliano,,,village,node
12992155930,Basua,,Basoia,,,hamlet,node
1487612818,Basêt,,Basedo,,,hamlet,node
835539773,Bataie,Batae,Battaglia,,,village,node
5330181720,Batifier,,Battiferro,,,locality,node
13135738640,Batèl,,Batello,,,locality,node
3727355088,Baufie,,Baufie,,,neighbourhood,node
474375887,Bean,,Beano / Bean,,,village,node
506692519,Bean,,Begliano,,,village,node
4332672774,Bearç di Pavâr,,Bearç di Pavâr,,,locality,node
2567008542,Bedoveit,,Stavoli Bedovet,,,locality,node
1423843223,Beivârs,,Beivârs,,,village,node
1545977697,Belfior,,Belfiore,,,village,node
824997485,Belgrât,Begrât,Belgrado,,,village,node
1625066664,Beliconda,,Contrada Beliconda,,,locality,node
1504261271,Beorcjan,,Beorchian,,,hamlet,node
2163611399,Beorcje,Beorcja,Beorchia,,,hamlet,node
376675031,Berde,,Berda,Budaži,,hamlet,node
4625361979,Berduce,,Località Berduce,,,isolated_dwelling,node
66503193,Bertiûl,,Bertiolo,,,village,node
5530610330,Betanie,,Betania,,,village,node
625582690,Bevaçane,Bevassana,Bevazzana,,,village,node
3876052146,Bevaçane,Bevassana,Bevazzana,,,village,node
308051319,Beveron,,Biverone,,,hamlet,node
814664285,Bevorcjans,,Bevorchians / Bevorcjans,,,village,node
4332672775,Bevorcjas,,Bevorcjas,,,locality,node
272046425,Bibion,,Bibione,,,village,node
34662591,Bibion Pinede,,Bibione Pineda,,,suburb,node
66503386,Bicinins,,Bicinicco,,,village,node
1109300717,Bicinins Disore,,Bicinicco di Sopra,,,locality,node
1109300664,Bicinins Disot,,Bicinicco di Sotto,,,locality,node
1448898994,Bielezoie,,Bellazoia,,,hamlet,node
1596672290,Bielvedê,,Belvedere,,,hamlet,node
1645521461,Bielvedê,,Belvedere / Bielvedê,,,hamlet,node
2405139538,Bielvedê,,Belvedere / Bielvedê di Marsure,,,isolated_dwelling,node
1531030049,Biligne,Biligna,Beligna,,,isolated_dwelling,node
2125656201,Biliris,,Billerio,,,village,node
1585357011,Bistrigne,,Bistrigna,,,village,node
3347533292,Blanchìs,,Blanchis,Blankiž,,isolated_dwelling,node
1314971050,Blancja,,Bianca,,,hamlet,node
777152329,Blancjade,,Piancada,,,village,node
474375898,Blauç,Blaùs,Biauzzo,,Blawutz,village,node
1531184637,Blessaie,,Blessaglia,,,village,node
418064086,Blessan,,Blessano,,,village,node
6283474929,Boarç,,Boarç,,,locality,node
850987757,Bodigoi,,Bodigoi,Budgoji,,hamlet,node
3198907777,Boldare,,Boldara,,,hamlet,node
292800302,Bolzan,,Bolzano,,,village,node
524659463,Bolzan,,Bolzano,,,isolated_dwelling,node
2471959496,Borc Avost,,Borgo Agosto,,,hamlet,node
2272785516,Borc Bombardîr,,Borgo Bombardier,,,hamlet,node
8325963533,Borc Bulons,,Borgo Bulons,,,hamlet,node
6289774254,Borc Buse,,Borgo Buse,,,hamlet,node
2232337849,Borc Candèletis,,Borgo Candeletis,,,hamlet,node
8400811006,Borc Cecon,,Borgo Ceconi,,,hamlet,node
1928645206,Borc Cjamesans,,Casolare Cjamesans,,,isolated_dwelling,node
2099878484,Borc Cjampeit,,Borgo Ciampei,,,locality,node
1470700998,Borc Cjarbonarie,,Borgo Carbonaria,,,hamlet,node
9322248231,Borc Cjascjel,,Borgo Castello,,,suburb,node
7660222331,Borc Cjastelut,,Borgo Cjastelut,,,hamlet,node
1799101527,Borc Cocean,,Borgo Coceano,,,isolated_dwelling,node
1440918957,Borc Cudili,,Borgo Cudili,,,hamlet,node
2456477469,Borc Cueste,,Borgo Costa,,,isolated_dwelling,node
1665927207,Borc Cueste,,Costa,,,hamlet,node
13353630647,Borc Curminie,,Borgo Curminie,,,hamlet,node
2301688026,Borc Dagnola,,Borgo Dagnola,,,hamlet,node
2912011888,Borc Degan,,Borgo Degano,,,hamlet,node
11847564268,Borc Disore,,Borgo di Sopra,,,hamlet,node
2232337848,Borc Dodon,,Borgo Malborghetto,,,hamlet,node
12269627863,Borc Fontanis,,Borgo Fontanis,,,isolated_dwelling,node
6289774251,Borc Foranês,,Borgo Foranesi,,,hamlet,node
1018935013,Borc Fornasir,,Borgo Fornasir,,,hamlet,node
2159593172,Borc Foràn,,,,,hamlet,node
1657632143,Borc Frattins,,Borgo Frattins,,,isolated_dwelling,node
2473220644,Borc Glemone,,Borgo Gemona,,,neighbourhood,node
1440918948,Borc Gobo,,Borgo Gobbo,,,hamlet,node
492069658,Borc Grote,Borc Grota,Grotta,,,hamlet,node
8325963532,Borc Isule,,Borgo Isola,,,hamlet,node
8325963527,Borc Lazaret,,Borgo Lazzaretto,,,hamlet,node
4506133108,Borc Lucars,,Borgo Lucardi,,,hamlet,node
3131220416,Borc Maiaron,,Borgo Maieron,,,locality,node
12330497976,Borc Maran,,Borgo Marano,,,isolated_dwelling,node
1411336755,Borc Mastrûi,,Borgo Mastrui,,,isolated_dwelling,node
2272785518,Borc Matteus,,Borgo Matteus,,,hamlet,node
